Repo,Folder Path,Has Docker,Port,PoC Logic,Show Description,Vulnerabilities,GitHub URL
UI-TARS-desktop,local_repos/UI-TARS-desktop,Yes,,RCE,"This repository provides lfi/rfi, path traversal, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SSRF', 'XSS', 'Header Injection', 'RCE', 'SQL Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/UI-TARS-desktop
composer-registry-manager,local_repos/composer-registry-manager,No,,RCE,"This repository provides lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/composer-registry-manager
tweepy_tweepy,local_repos/tweepy_tweepy,No,,SQL Injection,"This repository provides header injection, path traversal, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'Path Traversal', 'LFI/RFI', 'SQL Injection', 'Deserialization', 'XSS']",https://github.com/tweepy/tweepy
captcha-killer-5h6m,local_repos/captcha-killer-5h6m,No,,Web Application,Security research repository - captcha-killer-5h6m,[],https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/captcha-killer-5h6m
gpt-researcher,local_repos/gpt-researcher,Yes,${PORT},RCE,"This repository provides ssrf, rce, lfi/rfi proof-of-concept with Docker deployment on port ${PORT} demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI', 'SQL Injection', 'Header Injection', 'Path Traversal', 'XSS', 'Deserialization']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/gpt-researcher
Kali-Linux-Tools-Interface,local_repos/Kali-Linux-Tools-Interface,No,,RCE,"This repository provides header injection, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SQL Injection', 'XSS', 'LFI/RFI', 'RCE', 'Path Traversal', 'Deserialization']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/Kali-Linux-Tools-Interface
weggli-rs_weggli,local_repos/weggli-rs_weggli,No,,RCE,"This repository provides lfi/rfi, sql injection, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'Path Traversal']",https://github.com/weggli-rs/weggli
AdvBox,local_repos/AdvBox,No,,RCE,"This repository provides lfi/rfi, ssrf, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Path Traversal', 'RCE', 'XSS', 'SQL Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/AdvBox
tunshell,local_repos/tunshell,Yes,,"RCE, Auth Bypass","This repository provides lfi/rfi, path traversal, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'SSRF', 'Header Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/tunshell
ocean_ctf,local_repos/ocean_ctf,Yes,6379,"RCE, RFI","This repository provides xss, sql injection, header injection proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['XSS', 'SQL Injection', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'Deserialization']",https://github.com/ocean/ctf
haven,local_repos/haven,No,,RCE,"This repository provides lfi/rfi, xss, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'SQL Injection', 'RCE', 'SSRF', 'Path Traversal', 'Header Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/haven
ludwig,local_repos/ludwig,Yes,,RCE,"This repository provides lfi/rfi, path traversal, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS', 'Header Injection', 'SSRF', 'Deserialization', 'RCE']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/ludwig
SteveSandersonMS_WebWindow,local_repos/SteveSandersonMS_WebWindow,No,,"RCE, LFI","This repository provides header injection, xss, sql injection proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'XSS', 'SQL Injection', 'RCE', 'LFI/RFI']",https://github.com/SteveSandersonMS/WebWindow
Meppo,local_repos/Meppo,No,,"RCE, SQL Injection","This repository provides rce, ssrf, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF', 'XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'SQL Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/Meppo
goWAPT,local_repos/goWAPT,No,,"RCE, XSS","This repository provides ssrf, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'Header Injection', 'SQL Injection', 'Path Traversal']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/goWAPT
Spark-TTS,local_repos/Spark-TTS,Yes,,Auth Bypass,"This repository provides sql injection, rce, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'SSRF', 'LFI/RFI', 'Path Traversal', 'XSS', 'Header Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/Spark-TTS
c41n,local_repos/c41n,No,,RCE,"This repository provides rce, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'SQL Injection', 'Header Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/c41n
uProxy-p2p,local_repos/uProxy-p2p,Yes,,RCE,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'XSS', 'Path Traversal', 'SQL Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/uProxy-p2p
RCE-labs,local_repos/RCE-labs,Yes,,"RCE, RFI","This repository provides rce, xss, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'SSRF', 'Path Traversal', 'Header Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/RCE-labs
Burp-UserAgent,local_repos/Burp-UserAgent,No,,XSS,"This repository provides lfi/rfi, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/Burp-UserAgent
Cobra,local_repos/Cobra,Yes,5000,RCE,"This repository provides ssrf, rce, xss proof-of-concept with Docker deployment on port 5000 demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'Header Injection', 'SQL Injection', 'LFI/RFI', 'Path Traversal', 'Deserialization']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/Cobra
blackarch-installer,local_repos/blackarch-installer,Yes,,RCE,"This repository provides xss, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection', 'SSRF', 'Deserialization']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/blackarch-installer
answerWeb,local_repos/answerWeb,No,,RCE,"This repository provides xss, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'SQL Injection', 'Path Traversal', 'SSRF']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/answerWeb
pxe,local_repos/pxe,Yes,,RFI,Security research repository - pxe,[],https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/pxe
ElasticView,local_repos/ElasticView,Yes,,RCE,"This repository provides header injection, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'SQL Injection', 'XSS']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/ElasticView
nlvm,local_repos/nlvm,Yes,,"RCE, SQL Injection","This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/nlvm
honoki_bbrf-server,local_repos/honoki_bbrf-server,Yes,1,RCE,This repository provides rce proof-of-concept with Docker deployment on port 1 demonstrating web-based attack vectors.,['RCE'],https://github.com/honoki/bbrf-server
MemoryShell,local_repos/MemoryShell,No,,RCE,"This repository provides rce, deserialization proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Deserialization']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/MemoryShell
m9rco_algorithm-php,local_repos/m9rco_algorithm-php,Yes,1,RCE,"This repository provides lfi/rfi, rce, ssrf proof-of-concept with Docker deployment on port 1 demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SSRF', 'SQL Injection']",https://github.com/m9rco/algorithm-php
VcenterKit,local_repos/VcenterKit,No,,RCE,"This repository provides sql injection, rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'SSRF', 'Path Traversal']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/VcenterKit
xvwa,local_repos/xvwa,No,,"RCE, SQL Injection","This repository provides header injection, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'XSS', 'LFI/RFI', 'SSRF', 'SQL Injection', 'RCE', 'Path Traversal', 'Deserialization']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/xvwa
kodbox,local_repos/kodbox,No,,"RCE, SQL Injection","This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'SSRF', 'XSS', 'Deserialization', 'SQL Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/kodbox
BishopFox_h2csmuggler,local_repos/BishopFox_h2csmuggler,Yes,443,"RCE, SSRF","This repository provides path traversal, header injection, lfi/rfi proof-of-concept with Docker deployment on port 443 demonstrating web-based attack vectors.","['Path Traversal', 'Header Injection', 'LFI/RFI', 'SSRF', 'RCE']",https://github.com/BishopFox/h2csmuggler
front-end-collect,local_repos/front-end-collect,No,,XSS,This repository provides xss proof-of-concept demonstrating web-based attack vectors.,['XSS'],https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/front-end-collect
goHackTools,local_repos/goHackTools,No,,"SQL Injection, RFI","This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/goHackTools
igoat,local_repos/igoat,Yes,,SQL Injection,"This repository provides lfi/rfi, rce, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SQL Injection', 'XSS', 'Path Traversal', 'SSRF', 'Header Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/igoat
xss-flash-fishing,local_repos/xss-flash-fishing,No,,XSS,"This repository provides xss, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/xss-flash-fishing
SexyBeast233_SecBooks,local_repos/SexyBeast233_SecBooks,No,,"RCE, SQL Injection","This repository provides xss, sql injection, ssrf proof-of-concept demonstrating web-based attack vectors.","['XSS', 'SQL Injection', 'SSRF', 'RCE', 'Path Traversal', 'LFI/RFI', 'Header Injection', 'Deserialization']",https://github.com/SexyBeast233/SecBooks
FridaRpcTool,local_repos/FridaRpcTool,No,,SSRF,This repository provides ssrf proof-of-concept demonstrating web-based attack vectors.,['SSRF'],https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/FridaRpcTool
NacosRce,local_repos/NacosRce,No,,RCE,"This repository provides path traversal, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['Path Traversal', 'Header Injection', 'RCE']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/NacosRce
Archery,local_repos/Archery,Yes,,RCE,"This repository provides sql injection, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'XSS', 'Header Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/Archery
block_goose,local_repos/block_goose,Yes,,RCE,"This repository provides lfi/rfi, sql injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'SSRF', 'Header Injection', 'RCE', 'Path Traversal', 'XSS']",https://github.com/block/goose
S7scan,local_repos/S7scan,No,,RCE,"This repository provides path traversal, ssrf, sql injection proof-of-concept demonstrating web-based attack vectors.","['Path Traversal', 'SSRF', 'SQL Injection', 'RCE', 'Header Injection', 'XSS', 'LFI/RFI']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/S7scan
random_c2_profile,local_repos/random_c2_profile,No,,RCE,"This repository provides sql injection, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'Header Injection', 'XSS', 'LFI/RFI', 'Path Traversal']",https://github.com/random/c2_profile
visualize_logs,local_repos/visualize_logs,No,,"RCE, LFI","This repository provides lfi/rfi, path traversal, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS', 'Header Injection', 'RCE']",https://github.com/visualize/logs
thc-hydra,local_repos/thc-hydra,Yes,,RCE,This repository provides rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.,['RCE'],https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/thc-hydra
mip22,local_repos/mip22,No,,RCE,"This repository provides rce, header injection, ssrf proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'SSRF', 'SQL Injection', 'XSS', 'LFI/RFI', 'Path Traversal']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/mip22
ShiroAndFastJson,local_repos/ShiroAndFastJson,No,,RCE,"This repository provides rce, header injection, deserialization proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'Deserialization', 'SSRF', 'LFI/RFI']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/ShiroAndFastJson
Decrypt_Weblogic_Password,local_repos/Decrypt_Weblogic_Password,No,,Web Application,Security research repository - Decrypt_Weblogic_Password,[],https://github.com/Decrypt/Weblogic_Password
faraday,local_repos/faraday,Yes,6379,RCE,"This repository provides sql injection, lfi/rfi, ssrf proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'SSRF', 'RCE', 'XSS', 'Deserialization', 'Header Injection', 'Path Traversal']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/faraday
ITI_ICS-Security-Tools,local_repos/ITI_ICS-Security-Tools,No,,RCE,"This repository provides lfi/rfi, rce, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'SQL Injection', 'Header Injection', 'XSS', 'Deserialization']",https://github.com/ITI/ICS-Security-Tools
DarkAngel,local_repos/DarkAngel,Yes,,RCE,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'XSS', 'Deserialization', 'Header Injection', 'SQL Injection', 'Path Traversal']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/DarkAngel
Lakr233_mobilePillowTalkLite,local_repos/Lakr233_mobilePillowTalkLite,No,,RCE,"This repository provides lfi/rfi, rce, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'XSS', 'SQL Injection', 'Header Injection', 'Path Traversal', 'Deserialization', 'SSRF']",https://github.com/Lakr233/mobilePillowTalkLite
simplehttpserver,local_repos/simplehttpserver,Yes,,"RCE, XSS","This repository provides xss, header injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'SSRF', 'LFI/RFI']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/simplehttpserver
personal-security-checklist,local_repos/personal-security-checklist,Yes,,LFI/RFI,This repository provides lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.,['LFI/RFI'],https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/personal-security-checklist
dual-obsidian-client,local_repos/dual-obsidian-client,No,,RCE,"This repository provides ssrf, xss, rce proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'RCE', 'LFI/RFI']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/dual-obsidian-client
chisel,local_repos/chisel,Yes,,"RCE, Header Injection","This repository provides sql injection, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'Header Injection', 'LFI/RFI', 'SSRF', 'RCE', 'Path Traversal']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/chisel
WordCards,local_repos/WordCards,No,,SQL Injection,"This repository provides lfi/rfi, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection', 'SSRF', 'Path Traversal', 'SQL Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/WordCards
Camtd,local_repos/Camtd,No,,RCE,"This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE', 'Header Injection', 'SSRF']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/Camtd
myscan,local_repos/myscan,No,,"RCE, SQL Injection","This repository provides lfi/rfi, sql injection, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'RCE', 'SSRF', 'Deserialization', 'Header Injection', 'XSS', 'Path Traversal']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/myscan
avenger-sh,local_repos/avenger-sh,No,,"RCE, SQL Injection","This repository provides header injection, rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'SSRF', 'LFI/RFI', 'Path Traversal']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/avenger-sh
empire-web,local_repos/empire-web,No,,RCE,"This repository provides header injection, lfi/rfi, xss proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'XSS', 'RCE', 'SSRF']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/empire-web
HElib,local_repos/HElib,No,,RCE,"This repository provides lfi/rfi, xss, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Path Traversal', 'RCE', 'Header Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/HElib
ohroy_blog,local_repos/ohroy_blog,No,,RCE,"This repository provides xss, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection']",https://github.com/ohroy/blog
nushell,local_repos/nushell,Yes,,RCE,"This repository provides lfi/rfi, path traversal, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS', 'RCE']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/nushell
7dog7_bottleneckOsmosis,local_repos/7dog7_bottleneckOsmosis,No,,SQL Injection,"This repository provides ssrf, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal']",https://github.com/7dog7/bottleneckOsmosis
opensec-cn_kunpeng,local_repos/opensec-cn_kunpeng,No,,"RCE, XSS","This repository provides rce, ssrf, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF', 'XSS', 'LFI/RFI', 'Header Injection', 'SQL Injection', 'Path Traversal']",https://github.com/opensec-cn/kunpeng
gsnova,local_repos/gsnova,Yes,,RCE,"This repository provides lfi/rfi, rce, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Header Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/gsnova
security-labs-pocs,local_repos/security-labs-pocs,Yes,,"RCE, Privilege Escalation","This repository provides lfi/rfi, ssrf, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Header Injection', 'RCE', 'Path Traversal', 'SQL Injection', 'XSS']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/security-labs-pocs
CThun,local_repos/CThun,No,,SQL Injection,"This repository provides header injection, ssrf, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SSRF', 'LFI/RFI', 'Path Traversal', 'XSS', 'SQL Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/CThun
DVHMA,local_repos/DVHMA,No,,RCE,"This repository provides lfi/rfi, path traversal, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'XSS', 'SQL Injection', 'Header Injection', 'RCE', 'SSRF', 'Deserialization']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/DVHMA
pedump,local_repos/pedump,No,,"RCE, LFI","This repository provides lfi/rfi, path traversal, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SQL Injection', 'Deserialization', 'Header Injection', 'RCE']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/pedump
fingerprintjs,local_repos/fingerprintjs,No,,RCE,"This repository provides lfi/rfi, xss, ssrf proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'SSRF', 'Path Traversal', 'SQL Injection']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/fingerprintjs
soc-faker,local_repos/soc-faker,Yes,,"RCE, RFI","This repository provides lfi/rfi, sql injection, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'Path Traversal', 'Header Injection', 'SSRF', 'XSS', 'RCE']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/soc-faker
n9e_k8s-mon,local_repos/n9e_k8s-mon,Yes,,RCE,"This repository provides ssrf, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI']",https://github.com/n9e/k8s-mon
headshots-starter,local_repos/headshots-starter,No,,RCE,This repository provides ssrf proof-of-concept demonstrating web-based attack vectors.,['SSRF'],https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/headshots-starter
autocorrect,local_repos/autocorrect,Yes,,RCE,"This repository provides xss, lfi/rfi, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'SQL Injection', 'Header Injection', 'Path Traversal', 'RCE']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/autocorrect
Citadel,local_repos/Citadel,No,,RCE,"This repository provides ssrf, rce proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'RCE']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/Citadel
vulnerability,local_repos/vulnerability,Yes,,RCE,"This repository provides lfi/rfi, path traversal, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SSRF', 'XSS', 'SQL Injection', 'RCE', 'Header Injection', 'Deserialization']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/vulnerability
anyproxy,local_repos/anyproxy,No,,RCE,"This repository provides sql injection, ssrf, rce proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'SSRF', 'RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'XSS']",https://github.com/llmsc-security/awesome-hacking-lists/tree/master/local_repos/anyproxy
sonnylazuardi_cursor-talk-to-figma-mcp,local_repos/sonnylazuardi_cursor-talk-to-figma-mcp,Yes,3055,RCE,"This repository provides lfi/rfi, ssrf, rce proof-of-concept with Docker deployment on port 3055 demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'RCE', 'XSS']",https://github.com/sonnylazuardi/cursor-talk-to-figma-mcp
